Code,Last,Change,Prev,Open,High,Low,Freq,Vol,Val(K),Cap(M)
DGIK,136,-2.158273381294964%,139,136,140,135,281,15457,211331,753598
BMSR,362,-2.1621621621621623%,370,380,380,354,127,2809,101032,419630
HYGN,180,-2.1739130434782608%,184,184,186,178,425,128203,2315036,454500
IDPR,268,-2.18978102189781%,274,276,300,268,272,4077,113638,536804
MIKA,1750,-2.2346368715083798%,1790,1790,1800,1740,1190,24639,4328397,24338093
MBAP,1680,-2.3255813953488373%,1720,1720,1725,1680,99,462,78440,2061817
ECII,166,-2.3529411764705883%,170,168,173,165,381,21379,359055,221499
SOCI,620,-2.3622047244094486%,635,635,650,620,2355,201768,12632402,4376580
TOSK,82,-2.380952380952381%,84,85,85,82,521,167400,1387874,358773
TBMS,1225,-2.3904382470119523%,1255,1265,1265,1225,36,213,26278,899983
GULA,810,-2.4096385542168677%,830,825,825,795,807,135623,10950029,866994
MEDC,1525,-2.5559105431309903%,1565,1565,1570,1515,10462,417804,64251270,38332753
DWGL,226,-2.586206896551724%,232,232,234,224,656,38654,879291,2091138
TLKM,2590,-2.631578947368421%,2660,2630,2640,2590,18098,902063,235311916,256571141
ARII,296,-2.631578947368421%,304,304,304,290,89,1771,52206,1110000
PRAY,720,-2.7027027027027026%,740,745,745,720,5,5,365,10050784
BESS,895,-2.717391304347826%,920,885,925,885,48,368,32984,3079208
GEMS,7150,-2.7210884353741496%,7350,7350,7400,7000,238,2067,1493033,42058824
PTSN,428,-2.727272727272727%,440,424,438,410,1354,66730,2830916,2274539
KPIG,70,-2.7777777777777777%,72,71,75,70,7093,3350994,24044375,7511899
OBMD,204,-2.857142857142857%,210,216,224,202,502,16255,341950,164423
BCIC,134,-2.898550724637681%,138,138,139,134,254,5264,71622,2402094
PADI,67,-2.898550724637681%,69,70,70,65,9113,4109883,27485597,909103
MSJA,830,-2.923976608187134%,855,855,860,805,997,133123,11010271,4882353
BPII,460,-2.9535864978902953%,474,472,472,434,98,1233,55806,4546710
INCO,4680,-3.1055900621118013%,4830,4850,4890,4660,9403,224914,106621064,49326192
LPLI,226,-3.418803418803419%,234,234,234,220,568,3462,78211,264518
MITI,278,-3.4722222222222223%,288,288,294,274,1940,92268,2581776,1042646
PRDL,212,-3.6363636363636362%,220,218,220,204,2889,98150,2073695,369495
KBLI,368,-3.664921465968586%,382,388,388,360,789,34248,1263202,1474663
ISSP,414,-3.7209302325581395%,430,430,434,408,563,52784,2201663,2975001
KDSI,450,-3.8461538461538463%,468,468,468,444,44,549,24712,729000
MINA,250,-3.8461538461538463%,260,260,264,246,7570,603624,15137140,2460938
VISI,1230,-3.90625%,1280,1310,1380,1180,1801,119723,15193515,3782250
BULL,390,-3.9408866995073892%,406,406,418,382,29901,5672011,224938006,6042830
ASPR,143,-4.026845637583892%,149,146,149,140,3016,259438,3700087,387816
SRAJ,13100,-4.029304029304029%,13650,13625,13625,12750,20,29,37558,160330376
ENRG,1310,-4.029304029304029%,1365,1350,1380,1260,17755,1157845,150689377,34799552
