Code,Last,Change,Prev,Open,High,Low,Freq,Vol,Val(K),Cap(M)
SOHO,1630,-1.8072289156626504%,1660,1640,1655,1600,113,825,133759,20687442
PEHA,298,3.4722222222222223%,288,300,300,292,104,4511,133119,250320
NAIK,92,0%,92,91,93,90,182,14320,130927,306307
SUNI,680,0.7407407407407408%,675,675,680,670,50,1832,123648,1700000
TIFA,316,-1.25%,320,316,320,304,235,3967,122896,1122499
ARGO,1165,1.3043478260869565%,1150,1155,1165,1155,72,1056,122711,3698105
SBMA,114,1.7857142857142856%,112,112,116,111,143,10708,121906,106012
IPCM,288,0%,288,290,290,286,181,4223,121886,1522026
CBUT,1060,0.9523809523809524%,1050,1050,1080,1025,108,1151,121182,3312500
TPMA,476,0.42194092827004215%,474,474,480,472,91,2514,119714,1669532
SPTO,600,-1.639344262295082%,610,605,610,600,127,1973,118926,1620000
VRNA,90,0%,90,89,92,88,181,13229,118796,511862
CSRA,755,0%,755,765,765,730,49,1591,118082,1547750
FWCT,90,0%,90,90,91,89,212,13084,117949,176670
BSIM,1060,2.912621359223301%,1030,1030,1085,1000,125,1132,116927,20688997
EMDE,77,1.3157894736842104%,76,77,77,75,227,15422,116925,257950
KOBX,178,1.1363636363636365%,176,176,179,175,105,6583,116535,404505
PAMG,56,1.8181818181818181%,55,55,56,54,161,20675,113658,175000
WAPO,191,0%,191,192,194,188,183,5920,112195,237016
OPMS,118,0%,118,118,118,115,167,9590,111697,118000
DGIK,137,-1.4388489208633095%,139,136,140,136,145,8100,111252,759140
MHKI,131,0.7692307692307693%,130,130,134,129,159,8400,109877,491250
GDST,113,0%,113,113,115,113,83,9588,108933,1044403
CARE,392,-1.507537688442211%,398,404,404,392,118,2744,108714,13034000
DART,168,0.5988023952095809%,167,168,172,164,258,6172,103009,527754
YPAS,1365,4.198473282442748%,1310,1315,1475,1315,216,733,102932,911820
AGRS,59,0%,59,59,60,59,81,16839,99392,2794656
PTPS,157,1.2903225806451613%,155,156,158,154,211,6332,98782,340300
LIVE,183,0.5494505494505495%,182,183,184,182,123,5364,97976,840520
GUNA,220,0%,220,220,224,216,38,4442,97607,550000
DCII,194075,0.6091238983929498%,192900,193000,194075,193000,5,5,96788,462625486
LPCK,595,-0.8333333333333334%,600,600,610,590,68,1597,95611,3055138
CAKK,164,2.5%,160,165,168,161,79,5705,92898,197341
AMAN,220,-0.9009009009009009%,222,222,226,212,88,4136,90760,852170
EPAC,50,0%,50,50,50,50,223,18075,90375,165170
DAAZ,1645,1.2307692307692308%,1625,1630,1670,1625,60,546,89982,3285065
GGRP,326,2.515723270440252%,318,318,328,318,131,2772,89842,3948309
RONY,1510,6.338028169014084%,1420,1435,1590,1435,168,565,86559,1887500
IDPR,274,0%,274,276,300,270,204,3031,85316,548822
